"Country or Area","Year","Value","Value Footnotes"
"Cameroon","2014","17270312",""
"Cameroon","2013","15664666",""
"Cameroon","2012","13108058",""
"Cameroon","2011","10486614",""
"Cameroon","2010","8636652",""
"Cameroon","2009","8004120",""
"Cameroon","2008","6160893",""
"Cameroon","2007","4536000",""
"Cameroon","2006","3135946",""
"Cameroon","2005","2252508",""
"Cameroon","2004","1530868",""
"Cameroon","2003","1077000",""
"Cameroon","2002","701507",""
"Cameroon","2001","417295",""
"Cameroon","2000","103279",""
"Cameroon","1999","6000",""
"Cameroon","1998","5000",""
"Cameroon","1997","4200",""
"Cameroon","1996","3500",""
"Cameroon","1995","2800",""
"Cameroon","1994","1600",""
"Cameroon","1993","0",""
"Cameroon","1992","0",""
"Cameroon","1991","0",""
"Cameroon","1990","0",""
"Cameroon","1989","0",""
"Cameroon","1988","0",""
"Cameroon","1987","0",""
"Cameroon","1986","0",""
"Cameroon","1985","0",""
"Cameroon","1984","0",""
"Cameroon","1983","0",""
"Cameroon","1982","0",""
"Cameroon","1981","0",""
"Cameroon","1980","0",""
"Cameroon","1979","0",""
"Cameroon","1978","0",""
"Cameroon","1977","0",""
"Cameroon","1976","0",""
"Cameroon","1975","0",""
"Cameroon","1970","0",""
"Cameroon","1965","0",""
"Cameroon","1960","0",""

